Quantitative (1-GRE),Gender,Inst 1 Name
165,Female,Univ Minnesota Duluth
170,Female,Peking University
170,Female,Purdue Univ West Lafayette*
158,Female,Univ Houston Main Campus*
170,Female,Hunan University
,Female,Nanjing University - China
170,Male,Zhejiang University
167,Female,Xiamen University
165,Female,Univ Calif San Diego
166,Female,Univ Houston Main Campus*
165,Female,Univ Minnesota Minneapolis*
165,Female,Univ Calif Berkeley
170,Female,Southeast University
167,Male,Penn State University
170,Female,Shanghai Jiao Tong University
167,Female,Shandong Agricultural Universi
,Male,XiAn JiaoTong University
,Female,Univ Washington Seattle
168,Female,Univ Minnesota Minneapolis*
167,Male,Zhejiang University
168,Male,Univ Southern California
167,Female,Beijing Int'l Studies Univ
,Female,South China University of Tech
170,Female,Nankai University
170,Female,Vanderbilt University
170,Female,Shanghai Intl Studies Univ
167,Female,Worcester Poly Institute
165,Female,University of Macau
,Female,South China University of Tech
164,Female,South China University of Tech
170,Female,Renmin University of China
,Female,Rhodes College
167,Male,Purdue Univ West Lafayette*
